x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,event
-5.0,-0.2,0.5,-4.6,-0.5,-1.5,0.1,0.1,1.2,7.2,1.0
-0.3,-0.0,-0.0,-8.8,7.7,6.3,0.4,0.4,0.2,1.5,1.0
0.1,0.0,5.1,-12.0,9.0,-5.9,0.3,0.3,0.3,2.2,1.0
3.4,1.8,13.0,-12.0,7.2,7.1,0.5,0.5,0.2,0.4,1.0
-2.4,-0.2,0.0,-3.5,3.6,-2.6,0.0,0.0,3.9,5.2,0.0
-3.8,0.0,-0.0,-8.8,6.5,8.4,0.1,0.1,0.8,1.2,1.0
-0.0,0.4,-0.0,-10.4,7.4,0.4,2.6,2.6,0.5,2.4,1.0
-0.2,-0.1,0.0,-8.3,9.1,-4.9,0.0,0.0,12.0,11.5,0.0
-0.0,0.7,2.1,-8.1,0.2,-6.5,0.2,0.2,0.7,2.0,1.0
-0.6,2.3,0.1,-10.6,6.7,-0.8,0.0,0.0,0.4,1.5,1.0
0.5,0.1,5.9,-13.3,10.8,4.1,0.2,0.2,0.3,0.6,1.0
-1.7,1.5,0.0,-2.1,-6.3,-1.5,0.0,0.0,0.4,0.7,1.0
-0.5,-0.1,0.4,-7.5,3.8,-7.2,2.9,2.9,1.0,6.3,1.0
-0.0,11.6,-0.1,-3.2,-7.2,4.5,0.9,0.9,0.7,3.6,1.0
0.0,0.8,1.4,-10.1,4.9,3.9,0.9,0.9,0.8,3.1,1.0
0.6,4.7,0.1,-13.0,9.7,-1.4,2.2,2.2,0.6,4.3,1.0
-2.2,-1.2,4.0,-6.6,3.6,5.6,0.1,0.1,0.7,14.3,1.0
-0.7,-0.0,8.2,-5.5,-2.2,3.5,0.0,0.0,0.4,2.1,1.0
-0.4,2.6,0.0,-7.2,-0.1,3.6,0.1,0.1,0.5,0.4,1.0
-0.8,-0.0,1.2,-9.6,5.8,8.7,0.6,0.6,1.4,5.1,1.0
-0.3,-1.1,-0.7,4.9,1.8,5.4,0.0,0.0,3.0,0.6,0.0
-0.0,0.1,1.0,-13.2,11.1,-9.9,0.1,0.1,0.4,6.3,1.0
-0.6,0.5,-0.0,-9.4,6.6,7.2,0.1,0.1,0.4,1.6,1.0
-0.8,-0.0,1.0,-10.1,7.3,-5.3,0.3,0.3,1.0,0.3,1.0
-4.0,0.6,0.0,-10.1,5.6,1.9,0.3,0.3,4.9,0.2,1.0
-0.2,1.8,0.1,-9.2,5.1,-7.2,0.0,0.0,0.3,7.9,1.0
-0.5,0.0,1.4,-10.3,7.5,-4.7,0.0,0.0,0.3,1.0,1.0
-1.1,1.8,0.3,-5.9,-4.7,3.5,0.3,0.3,2.0,1.3,1.0
0.8,4.6,7.5,-11.6,6.6,-9.0,0.0,0.0,0.1,1.9,1.0
-0.1,10.4,0.0,-5.1,-6.5,3.7,0.2,0.2,0.9,1.3,1.0
0.1,7.0,0.4,-7.4,-3.2,-4.8,0.3,0.3,0.3,19.9,1.0
-0.0,1.6,5.5,-10.3,5.2,5.8,0.0,0.0,0.3,16.6,1.0
0.0,2.3,0.3,-10.5,5.3,-6.8,1.4,1.4,0.8,6.3,1.0
-0.1,-0.6,-1.3,-4.0,8.4,0.7,0.0,0.0,3.0,2.3,0.0
-4.4,0.3,0.2,-2.7,-6.2,-4.4,0.2,0.2,1.5,4.4,1.0
-0.4,1.5,0.4,-7.1,-1.1,-3.2,0.0,0.0,0.4,2.9,1.0
-0.0,3.6,0.0,-8.1,2.5,-1.5,0.0,0.0,0.2,1.2,1.0
-0.3,0.1,0.8,-4.5,-4.1,-4.4,0.4,0.4,0.6,1.5,1.0
-0.3,0.1,4.1,-9.5,4.9,3.6,0.0,0.0,0.5,1.6,1.0
-0.1,-0.9,-1.6,5.6,2.5,3.6,0.0,0.0,3.9,0.9,0.0
-5.0,0.4,-0.1,-1.6,-5.1,3.8,0.2,0.2,1.1,5.7,1.0
-0.0,1.7,2.3,-9.9,3.7,-6.8,0.2,0.2,0.7,0.8,1.0
4.7,10.6,8.8,-14.1,9.8,6.2,0.3,0.3,0.3,2.2,1.0
-0.8,0.0,-0.0,-6.7,2.8,-4.5,0.4,0.4,0.5,1.5,1.0
-0.0,6.1,0.0,-10.5,5.5,3.3,0.1,0.1,0.5,4.0,1.0
-3.7,0.0,0.6,-1.6,-5.8,-5.6,0.0,0.0,0.9,5.6,1.0
