1.138,0.931,0.997
1.058,0.935,0.997
1.118,0.937,0.997
1.129,0.936,0.994
1.138,0.933,0.996
1.112,0.937,0.996
1.097,0.923,0.996
1.098,0.939,0.996
1.121,0.938,0.998
1.089,0.932,0.998
1.036,0.938,0.999
1.114,0.924,0.995
1.089,0.928,0.994
1.103,0.930,1.000
1.125,0.929,0.994
1.116,0.929,0.997
1.094,0.935,0.992
1.125,0.933,0.999
1.093,0.931,0.998
1.104,0.940,0.997
1.138,0.940,0.991
1.115,0.935,0.995
1.160,0.929,0.994
1.095,0.936,0.998
1.135,0.936,0.995
1.081,0.938,0.997
1.114,0.932,0.994
1.090,0.937,0.996
1.116,0.926,0.999
1.091,0.933,0.997
1.148,0.929,0.993
1.109,0.935,0.998
1.143,0.939,0.997
1.114,0.934,0.990
1.136,0.942,0.996
1.130,0.926,0.999
1.105,0.928,0.996
1.144,0.925,0.999
1.071,0.931,0.993
1.092,0.926,0.997
1.154,0.933,0.995
1.115,0.933,0.993
1.102,0.933,0.997
1.145,0.933,0.995
1.096,0.929,0.995
1.114,0.937,0.994
1.108,0.929,0.994
1.106,0.922,0.996
1.114,0.926,0.997
1.110,0.929,0.999
1.114,0.932,0.993
1.105,0.932,0.995
1.112,0.919,0.999
1.131,0.930,0.996
1.103,0.937,0.993
1.094,0.924,0.998
1.115,0.940,0.995
1.060,0.931,0.998
1.109,0.939,0.994
1.113,0.931,0.999
1.097,0.937,0.997
1.102,0.930,1.000
1.119,0.930,0.997
1.119,0.929,0.997
1.110,0.932,1.000
1.101,0.929,0.998
1.116,0.934,0.995
1.070,0.927,0.995
1.118,0.931,0.997
1.099,0.931,0.996
1.077,0.926,0.998
1.089,0.930,0.997
1.065,0.937,0.997
1.118,0.932,0.995
1.109,0.938,0.995
1.124,0.932,0.994
1.132,0.923,0.995
1.096,0.935,0.995
1.158,0.930,0.997
1.087,0.924,0.998
1.102,0.933,0.996
1.090,0.931,0.994
1.097,0.933,0.994
1.117,0.928,0.998
1.098,0.928,0.996
1.111,0.924,0.996
1.101,0.930,0.997
1.079,0.924,0.997
1.124,0.940,0.997
1.097,0.925,0.998
1.111,0.919,1.002
1.108,0.930,0.999
1.141,0.931,0.998
1.145,0.934,0.995
1.102,0.928,0.999
1.129,0.927,0.997
1.110,0.939,0.995
1.102,0.934,1.000
1.124,0.926,1.000
1.084,0.930,0.999
1.141,0.929,0.992
1.142,0.937,0.996
1.101,0.933,0.996
1.067,0.920,1.000
1.095,0.929,0.995
1.116,0.935,1.002
1.117,0.931,0.997
1.088,0.933,0.995
1.114,0.930,0.999
1.111,0.923,0.997
1.096,0.934,0.997
1.111,0.932,0.997
1.152,0.929,0.996
1.112,0.934,0.995
1.110,0.927,0.998
1.077,0.926,0.993
1.130,0.927,0.995
1.141,0.931,0.997
1.055,0.926,0.991
1.105,0.928,0.998
1.105,0.935,0.993
1.102,0.929,1.000
1.094,0.928,0.994
1.112,0.931,0.994
1.129,0.924,0.997
1.137,0.927,0.996
1.106,0.934,0.999
1.099,0.930,0.999
1.088,0.920,0.995
1.112,0.927,0.998
1.128,0.929,1.000
1.112,0.932,0.992
1.109,0.932,0.998
1.135,0.929,0.999
1.107,0.935,0.997
1.077,0.929,0.998
1.084,0.934,0.995
1.112,0.933,0.993
1.137,0.938,0.997
1.128,0.933,0.995
1.134,0.932,0.995
1.086,0.927,0.997
1.103,0.933,1.000
1.104,0.934,0.997
1.081,0.931,0.999
1.124,0.919,0.997
1.111,0.934,0.998
1.084,0.937,0.997
1.100,0.931,0.994
1.086,0.936,0.995
1.097,0.929,1.001
1.062,0.929,0.996
1.065,0.927,1.000
1.110,0.924,0.996
1.060,0.923,0.996
1.103,0.936,0.996
1.102,0.935,0.996
1.050,0.929,0.996
1.148,0.937,0.995
1.104,0.928,0.999
1.128,0.934,0.994
1.105,0.924,1.002
1.133,0.928,0.998
1.104,0.935,1.000
1.108,0.929,1.000
1.088,0.928,0.998
1.065,0.926,0.995
1.103,0.931,1.000
1.102,0.931,0.994
1.098,0.931,0.997
1.083,0.927,0.996
1.070,0.935,0.999
1.102,0.935,0.996
1.067,0.924,0.997
1.063,0.930,0.995
1.090,0.931,0.996
1.100,0.936,0.996
1.101,0.931,0.997
1.106,0.928,0.997
1.097,0.931,0.997
1.141,0.931,0.999
1.119,0.928,0.997
1.108,0.922,1.001
1.090,0.942,0.998
1.102,0.934,0.995
1.124,0.942,0.995
1.137,0.940,0.995
1.125,0.925,0.994
1.127,0.933,0.994
1.086,0.921,0.996
1.098,0.926,0.998
1.116,0.930,0.995
1.086,0.926,0.999
1.122,0.938,0.999
1.097,0.927,0.994
1.104,0.925,0.997
1.112,0.931,0.997
1.153,0.938,0.996
1.137,0.939,0.997
1.090,0.921,0.995
1.131,0.931,0.998
1.125,0.927,0.998
1.095,0.934,0.997
1.061,0.929,0.991
1.076,0.931,0.997
1.141,0.926,0.996
1.089,0.934,0.997
1.153,0.927,0.996
1.127,0.931,0.994
1.123,0.927,0.998
1.083,0.925,0.997
1.094,0.926,0.998
1.090,0.929,0.994
1.130,0.935,0.999
1.101,0.926,0.996
1.094,0.930,0.996
1.110,0.933,0.998
1.110,0.939,0.997
1.152,0.929,0.997
1.101,0.940,0.996
