1.04,1.02,1.06,0.866,0.859,0.874,0.987,0.972,1.0
1.03,1.0,1.05,0.861,0.854,0.868,0.996,0.981,1.01
1.04,1.02,1.06,0.864,0.857,0.871,0.995,0.98,1.01
1.04,1.02,1.06,0.867,0.86,0.874,1.01,0.991,1.02
1.03,1.01,1.05,0.862,0.855,0.869,0.993,0.978,1.01
1.05,1.03,1.07,0.866,0.858,0.873,0.993,0.978,1.01
1.03,1.0,1.05,0.861,0.854,0.868,0.995,0.98,1.01
1.05,1.03,1.07,0.867,0.86,0.875,1.0,0.987,1.02
1.06,1.03,1.08,0.869,0.862,0.877,1.01,0.993,1.02
1.02,1.0,1.05,0.86,0.853,0.868,0.999,0.984,1.02
1.03,1.01,1.06,0.865,0.858,0.872,0.999,0.983,1.01
1.04,1.02,1.06,0.867,0.86,0.874,0.991,0.976,1.01
1.03,1.01,1.05,0.863,0.855,0.87,0.995,0.98,1.01
1.04,1.02,1.06,0.866,0.859,0.873,0.999,0.984,1.01
1.04,1.02,1.06,0.867,0.859,0.874,1.0,0.985,1.01
1.04,1.02,1.07,0.866,0.859,0.873,0.998,0.984,1.01
1.04,1.02,1.06,0.867,0.859,0.874,1.0,0.985,1.02
1.03,1.01,1.06,0.863,0.856,0.871,0.993,0.978,1.01
1.02,1.0,1.04,0.86,0.852,0.867,0.991,0.976,1.01
1.06,1.04,1.08,0.871,0.864,0.878,1.01,0.99,1.02
1.04,1.02,1.06,0.863,0.856,0.87,1.01,0.999,1.03
1.04,1.02,1.06,0.865,0.858,0.872,0.991,0.976,1.01
1.03,1.01,1.05,0.862,0.855,0.869,0.999,0.983,1.01
1.05,1.03,1.07,0.868,0.861,0.875,1.0,0.989,1.02
1.03,1.01,1.05,0.861,0.854,0.869,1.01,0.99,1.02
1.03,1.01,1.05,0.863,0.855,0.87,0.999,0.984,1.02
1.05,1.02,1.07,0.866,0.859,0.873,0.99,0.974,1.01
1.02,0.997,1.04,0.861,0.853,0.868,0.994,0.978,1.01
1.01,0.99,1.04,0.857,0.849,0.864,1.0,0.986,1.02
1.04,1.01,1.06,0.867,0.86,0.874,1.0,0.986,1.02
1.04,1.02,1.06,0.864,0.857,0.871,1.0,0.987,1.02
1.03,1.01,1.06,0.865,0.858,0.872,1.0,0.986,1.02
1.05,1.03,1.07,0.869,0.862,0.876,0.997,0.982,1.01
1.04,1.02,1.06,0.864,0.857,0.871,0.995,0.979,1.01
1.06,1.04,1.08,0.873,0.866,0.88,1.0,0.986,1.02
1.05,1.03,1.07,0.87,0.863,0.877,0.988,0.974,1.0
1.04,1.02,1.06,0.864,0.857,0.871,1.0,0.988,1.02
1.02,0.998,1.04,0.86,0.852,0.867,0.989,0.974,1.0
1.03,1.01,1.06,0.866,0.859,0.873,1.01,0.991,1.02
1.02,0.995,1.04,0.858,0.85,0.865,1.01,0.996,1.03
