1.22,1.11,1.34,0.991,0.98,1.0,1.06,0.959,1.17
1.06,0.758,1.36,0.996,0.988,1.0,1.03,0.932,1.12
1.16,0.96,1.36,0.998,0.994,1.0,1.02,0.957,1.08
1.23,1.11,1.35,0.992,0.981,1.0,1.07,0.962,1.17
0.98,0.78,1.18,0.986,0.971,1.0,0.895,0.805,0.985
0.896,0.615,1.18,0.987,0.973,1.0,0.973,0.867,1.08
1.01,0.738,1.28,0.988,0.974,1.0,1.05,0.917,1.18
1.18,0.971,1.39,0.998,0.994,1.0,1.02,0.941,1.1
1.07,0.808,1.33,0.99,0.977,1.0,0.942,0.856,1.03
1.31,1.21,1.41,1.0,1.0,1.0,0.972,0.935,1.01
1.06,0.813,1.31,0.99,0.978,1.0,0.988,0.894,1.08
0.952,0.722,1.18,0.974,0.95,0.998,0.925,0.829,1.02
1.07,0.788,1.35,0.991,0.979,1.0,1.05,0.937,1.16
1.0,0.799,1.21,0.993,0.983,1.0,0.946,0.876,1.02
1.01,0.781,1.23,0.983,0.966,1.0,0.973,0.871,1.08
0.959,0.714,1.2,0.986,0.969,1.0,0.961,0.873,1.05
1.08,0.799,1.36,0.992,0.981,1.0,0.977,0.891,1.06
0.878,0.573,1.18,0.987,0.972,1.0,1.0,0.912,1.09
1.31,1.24,1.38,0.999,0.997,1.0,1.02,0.938,1.1
1.17,0.979,1.37,0.997,0.99,1.0,0.982,0.915,1.05
1.02,0.798,1.25,0.987,0.973,1.0,0.939,0.849,1.03
1.29,1.18,1.39,0.998,0.993,1.0,1.01,0.939,1.08
1.29,1.13,1.45,0.997,0.991,1.0,0.971,0.909,1.03
1.21,1.02,1.4,0.996,0.989,1.0,0.977,0.915,1.04
1.28,1.14,1.42,0.993,0.983,1.0,1.07,0.955,1.19
1.05,0.797,1.3,0.989,0.975,1.0,0.967,0.869,1.07
0.817,0.518,1.11,0.987,0.971,1.0,1.05,0.949,1.16
1.34,1.25,1.44,0.999,0.997,1.0,0.999,0.939,1.06
1.14,0.878,1.39,0.995,0.988,1.0,0.982,0.895,1.07
0.942,0.649,1.24,0.993,0.983,1.0,0.974,0.898,1.05
0.943,0.683,1.2,0.989,0.976,1.0,1.02,0.918,1.12
1.03,0.689,1.36,0.989,0.976,1.0,0.97,0.882,1.06
1.08,0.753,1.4,0.99,0.978,1.0,0.968,0.886,1.05
1.12,0.952,1.29,0.992,0.982,1.0,1.01,0.918,1.1
0.913,0.646,1.18,0.98,0.959,1.0,1.0,0.879,1.13
1.09,0.828,1.35,0.995,0.987,1.0,1.06,0.951,1.16
1.31,1.21,1.4,0.998,0.992,1.0,1.06,0.944,1.17
1.25,1.07,1.42,0.994,0.986,1.0,0.942,0.865,1.02
0.938,0.705,1.17,0.988,0.975,1.0,0.955,0.859,1.05
1.09,0.866,1.31,0.989,0.976,1.0,0.97,0.885,1.05
